solver,size,max_objective,steps,solve_time,variables
Chuffed,5,86,11,0,0
Chuffed,10,256,8,0,0
Chuffed,15,366,2,0,0
Chuffed,19,653,4,0,0
Chuffed,23,0,0,0,0
CPOptimizer,5,88,20,57.97,10
CPOptimizer,10,316,50,56.74,44
CPOptimizer,15,363,3,55.98,84
CPOptimizer,19,698,52,55.58,126
CPOptimizer,23,0,0,51.74,156
Gecode,5,72,14,58.3524,61
Gecode,10,210,21,57.0124,245
Gecode,15,385,21,55.9418,535
Gecode,19,570,18,55.6006,849
Gecode,23,842,9,0,0
OR-Tools,5,0,0,0,0
OR-Tools,10,0,0,0,0
OR-Tools,15,0,0,0,0
OR-Tools,19,0,0,0,0
OR-Tools,23,0,0,0,0
